ID	Artist	Song	Link
0	Sage Francis	Crack Pipes	http://rap.genius.com/sage-francis-crack-pipes-lyrics
1	Sage Francis	Different	http://rap.genius.com/sage-francis-different-lyrics
2	Sage Francis	Personal Journalist	http://rap.genius.com/Sage-francis-personal-journalist-lyrics
3	Sage Francis	Inherited Scars	http://rap.genius.com/Sage-francis-inherited-scars-lyrics
4	Sage Francis	Climb Trees	http://rap.genius.com/Sage-francis-climb-trees-lyrics
5	Sage Francis	Broken Wings	http://rap.genius.com/sage-francis-broken-wings-lyrics
6	Sage Francis	The Strange Famous Mullet Remover	http://rap.genius.com/sage-francis-the-strange-famous-mullet-remover-lyrics
7	Sage Francis	Smoke and Mirrors	http://rap.genius.com/sage-francis-smoke-and-mirrors-lyrics
8	Sage Francis	Message Sent	http://rap.genius.com/Sage-francis-message-sent-lyrics
9	Sage Francis	Eviction Notice	http://rap.genius.com/Sage-francis-eviction-notice-lyrics
10	Sage Francis	Pitchers of Silence	http://rap.genius.com/Sage-francis-pitchers-of-silence-lyrics
11	Sage Francis	Specialist	http://rap.genius.com/sage-francis-specialist-lyrics
12	Sage Francis	Hopeless	http://rap.genius.com/sage-francis-hopeless-lyrics
13	Sage Francis	Kill Ya' Momz	http://rap.genius.com/sage-francis-kill-ya-momz-lyrics
14	Sage Francis	Black Sweatshirt	http://rap.genius.com/Sage-francis-black-sweatshirt-lyrics
15	Sage Francis	Cup of Tea	http://rap.genius.com/Sage-francis-cup-of-tea-lyrics
16	Sage Francis	My Name Is Strange	http://rap.genius.com/Sage-francis-my-name-is-strange-lyrics
17	Sage Francis	Runaways	http://rap.genius.com/sage-francis-runaways-lyrics
18	Sage Francis	The Buzz Kill	http://rap.genius.com/Sage-francis-the-buzz-kill-lyrics
19	Sage Francis	Sea Lion	http://rap.genius.com/Sage-francis-sea-lion-lyrics
20	Sage Francis	Gunz Yo	http://rap.genius.com/Sage-francis-gunz-yo-lyrics
21	Sage Francis	Escape Artist	http://rap.genius.com/Sage-francis-escape-artist-lyrics
22	Sage Francis	Product Placement	http://rap.genius.com/Sage-francis-product-placement-lyrics
23	Sage Francis	Voice Mail Bomb Threat	http://rap.genius.com/Sage-francis-voice-mail-bomb-threat-lyrics
24	Sage Francis	Dance Monkey	http://rap.genius.com/Sage-francis-dance-monkey-lyrics
25	Sage Francis	Sun vs Moon	http://rap.genius.com/Sage-francis-sun-vs-moon-lyrics
26	Sage Francis	Agony in Her Body	http://rap.genius.com/Sage-francis-agony-in-her-body-lyrics
27	Sage Francis	Crumble	http://rap.genius.com/Sage-francis-crumble-lyrics
28	Sage Francis	Ground Control	http://rap.genius.com/Sage-francis-ground-control-lyrics
29	Sage Francis	Lie Detector Test	http://rap.genius.com/Sage-francis-lie-detector-test-lyrics
