,artists,education,knowledge,school,science,songs,teach,teacher
4092,Killah Priest,0,0,0,24,Science Project,0,0
4046,Killah Priest,0,2,0,3,It's Over,0,0
463,Beastie Boys,0,0,0,3,"Dr. Lee, PhD",0,0
3133,Ice-T,0,0,0,2,You Played Yourself,0,0
3134,Ice-T,0,0,0,2,You Played Yourself,0,0
3135,Ice-T,0,0,0,2,You Played Yourself,0,0
3701,Jedi Mind Tricks,0,0,0,2,Imperial Tyranny,0,0
5119,Ludacris,0,0,0,2,Throw It Up,0,0
738,Blackalicious,0,0,0,2,Your Move,0,0
3122,Ice-T,0,0,0,2,The Syndicate,0,0
4197,Kool G Rap,0,0,0,2,Men at Work,0,0
4196,Kool G Rap,0,0,0,2,Men at Work,0,0
4195,Kool G Rap,0,0,0,2,Men at Work,0,0
4194,Kool G Rap,0,0,0,2,Men at Work,0,0
864,Boogie Down Productions,0,0,0,2,Blackman in Effect,0,0
4199,Kool G Rap,0,0,0,2,Money in the Bank,0,0
2940,GZA,0,0,0,0,Beneath the Surface,0,0
2973,GZA,0,0,0,0,I Gotcha Back,0,0
2963,GZA,0,0,0,0,Gold,0,0
2964,GZA,0,0,0,0,Gold,0,0
2965,GZA,0,0,0,0,Groundbreaking,0,0
2930,GZA,0,0,0,0,7 Pounds,0,0
2929,GZA,0,0,0,0,4th Chamber,0,0
2966,GZA,0,0,0,0,Hell's Wind Staff/Killah Hills 10304,0,0
2967,GZA,0,0,0,0,"High Price, Small Reward",0,0
2968,GZA,0,0,0,0,"High Price, Small Reward",0,0
2969,GZA,0,0,0,0,Highway Robbery,0,0
2970,GZA,0,0,0,0,Hip Hop Fury,0,0
2971,GZA,0,0,0,0,I Gotcha Back,0,0
2972,GZA,0,0,0,0,I Gotcha Back,0,0
2974,GZA,0,0,0,0,Investigative Reports,0,0
2961,GZA,0,0,0,0,General Principles,0,0
2928,GZA,0,0,0,0,4th Chamber,0,0
2927,GZA,0,0,0,0,4th Chamber,0,0
2926,GZA,0,0,0,0,1112,0,0
2975,GZA,0,0,0,0,Investigative Reports,0,0
2976,GZA,0,0,0,0,Investigative Reports,0,0
2977,GZA,0,0,0,0,"Knock, Knock",0,0
2978,GZA,0,0,0,0,Labels,0,0
2979,GZA,0,0,0,0,Labels,0,0
2980,GZA,0,0,0,0,Labels,0,0
2981,GZA,0,0,0,0,Legend of the Liquid Sword,0,0
2982,GZA,0,0,0,0,Life Is A Movie,0,0
2983,GZA,0,0,0,0,Life of a Drug Dealer,0,0
2962,GZA,0,0,0,0,General Principles,0,0
2960,GZA,0,0,0,0,Firehouse,0,0
2939,GZA,0,2,0,0,B.I.B.L.E. (Basic Instructions Before Leaving Earth),0,0
2952,GZA,0,0,0,0,Duel of the Iron Mic,0,0
2941,GZA,0,0,0,0,"Breaker, Breaker",0,0
2942,GZA,0,0,0,0,Cinema,0,0
2943,GZA,0,0,0,0,Cold World,0,0
2944,GZA,0,0,0,0,Cold World,0,0
2945,GZA,0,0,0,0,Cold World,0,0
2946,GZA,0,0,0,0,Columbian Ties,0,0
2947,GZA,0,0,0,0,Crash Your Crew,0,0
2948,GZA,0,0,0,0,Did Ya Say That,0,0
2949,GZA,0,0,0,0,Drama,0,0
2938,GZA,0,0,0,0,Auto Bio,0,0
2950,GZA,0,0,0,0,Duel of the Iron Mic,0,0
2951,GZA,0,0,0,0,Duel of the Iron Mic,0,0
2953,GZA,0,0,0,0,Duel of the Iron Mic,0,0
2959,GZA,0,0,0,0,Feel the Pain,0,0
2937,GZA,0,0,0,0,Animal Planet,0,0
2936,GZA,0,0,0,0,Amplified Sample,0,0
2935,GZA,0,0,0,0,Alphabets,0,0
2934,GZA,0,0,0,0,All in Together Now,0,0
2954,GZA,0,0,0,0,Exploitation of Mistakes,0,0
2933,GZA,0,0,0,0,All in Together Now,0,0
2955,GZA,0,0,0,0,Exploitation of Mistakes,0,0
2932,GZA,0,0,0,0,Advance Pawns,0,0
2956,GZA,0,0,0,0,Fam (Members Only),0,0
2957,GZA,0,0,0,0,Fame,0,0
2931,GZA,0,0,0,0,Advance Pawns,0,0
2958,GZA,0,0,0,0,Feel Like an Enemy,0,0
8899,Young Jeezy,0,0,0,0,Word Play,0,0
2986,GZA,0,0,0,0,Living Foul,0,0
2984,GZA,0,0,0,0,Liquid Swords,0,0
3027,Ice-T,0,0,2,0,6 'N the Mornin',0,0
3033,Ice-T,0,0,0,0,Check Your Game,0,0
3032,Ice-T,0,0,0,0,Body Count,0,0
3031,Ice-T,0,0,0,0,Bitches 2,0,0
3030,Ice-T,0,0,0,0,Ain't a Damn Thing Changed,0,0
3029,Ice-T,0,0,0,0,Addicted to Danger,0,0
3028,Ice-T,0,0,0,0,99 Problems,0,0
3026,Ice-T,0,0,2,0,6 'N the Mornin',0,0
2985,GZA,0,0,0,0,Liquid Swords,0,0
3025,Ice-T,0,0,0,0,409,0,0
3024,GZA,0,0,0,0,Who's Your Rhymin' Hero,0,0
3023,GZA,0,0,0,0,What Are Silly Girls Made Of,0,0
3022,GZA,0,0,0,0,Victim,0,0
3021,GZA,0,0,0,0,Uncut Material,0,0
3020,GZA,0,0,0,0,True Fresh M.C.,0,0
3034,Ice-T,0,0,0,0,Check Your Heart,0,0
3035,Ice-T,0,0,0,0,CJ Mac (Interlude),0,0
3036,Ice-T,0,0,0,0,Common Sense,0,0
3037,Ice-T,0,0,0,0,Cramp Your Style,0,0
3038,Ice-T,0,0,0,0,Cramp Your Style,0,0
3039,Ice-T,0,0,0,0,Dear Homie,0,0
3040,Ice-T,0,0,0,0,Depths of Hell,0,0
3041,Ice-T,0,0,0,0,Don't Hate the Playa,0,0
3042,Ice-T,0,0,0,0,Drama,0,0
3043,Ice-T,0,0,0,0,Ed,0,0
3044,Ice-T,0,0,0,0,Escape from the Killing Fields,0,0
3045,Ice-T,0,0,0,0,Evil E-What About Sex?,0,0
3046,Ice-T,0,0,0,0,Eye of the Storm,0,0
3047,Ice-T,0,0,0,0,First Impression,0,0
3048,Ice-T,0,0,0,0,Fly By,0,0
3049,Ice-T,0,0,0,0,Forced to Do Dirt,0,0
3050,Ice-T,0,0,0,0,Freedom of Speech,0,0
3019,GZA,0,0,0,0,Those Were the Days,0,0
3018,GZA,0,0,0,0,Those That's Bout It,0,0
3017,GZA,0,0,0,0,Those That's Bout It,0,0
3000,GZA,0,0,0,0,Shadowboxin',0,0
2924,Gucci Mane,0,0,0,0,Yella Diamonds,0,0
2987,GZA,0,0,0,0,Living in the World Today,0,0
2988,GZA,0,0,0,0,Living in the World Today,0,0
2989,GZA,0,0,0,0,Living in the World Today,0,0
2990,GZA,0,0,0,0,Luminal,0,0
2991,GZA,0,0,0,0,Mic Trippin,0,0
2992,GZA,0,0,0,0,Pass the Bone,0,0
2993,GZA,0,0,0,0,Path Of Destruction,0,0
2994,GZA,0,0,0,0,Pencil,0,0
2995,GZA,0,0,0,0,Publicity,0,0
2996,GZA,0,0,0,0,Queen's Gambit,0,0
2997,GZA,0,0,0,0,Queen's Gambit,0,0
2998,GZA,0,0,0,0,Rough Cut,0,0
2999,GZA,0,0,0,0,Shadowboxin',0,0
3001,GZA,0,0,0,0,Shadowboxin',0,0
3016,GZA,0,0,0,0,The Genius Is Slammin',0,0
3002,GZA,0,0,0,0,Shadowboxin,0,0
3003,GZA,0,0,0,0,Short Race,0,0
3004,GZA,0,0,0,0,Silent,0,0
3005,GZA,0,0,0,0,Smothered Mate,0,0
3006,GZA,0,0,0,0,Smothered Mate,0,0
3007,GZA,0,0,0,0,Sparring Minds,0,0
3008,GZA,0,0,0,0,Stay in Line,0,0
3009,GZA,0,0,0,0,Stay Out of Bars,0,0
3010,GZA,0,0,0,0,Stop the Nonsense,0,0
3011,GZA,0,0,0,0,"Stringplay (Like This, Like That)",0,0
3012,GZA,0,0,0,0,Superfreak,0,0
3013,GZA,0,0,0,0,Swordsman,0,0
3014,GZA,0,0,0,0,Swordsman,0,0
3015,GZA,0,0,0,0,Swordsman,0,0
2925,GZA,0,0,0,0,1112,0,0
2923,Gucci Mane,0,0,0,0,Worst Enemy,0,0
3052,Ice-T,0,0,0,0,Fuck It,0,0
2826,Goodie Mob,0,0,0,0,I Refuse Limitation,0,0
2832,Goodie Mob,0,0,0,0,Kolors,0,0
2831,Goodie Mob,0,0,0,0,Just Do It,0,0
2830,Goodie Mob,0,0,0,0,Just About Over,0,0
2829,Goodie Mob,0,0,0,0,Inshallah,0,0
2828,Goodie Mob,0,0,0,0,I.C.U.,0,0
2827,Goodie Mob,0,0,0,0,I'm Set,0,0
2825,Goodie Mob,0,0,0,0,I Didn't Ask to Come,0,0
2834,Goodie Mob,0,0,0,0,Play Your Flutes,0,0
2824,Goodie Mob,0,0,0,0,Gutta Butta,0,0
2823,Goodie Mob,0,0,0,0,Guess Who,0,0
2822,Goodie Mob,0,0,0,0,Greeny Green,0,0
2821,Goodie Mob,0,0,0,0,Goodie Bag,0,0
